15401,Uniontown,PA,39.89822,-79.7311,-5,1
15201,Pittsburgh,PA,40.471468,-79.95726,-5,1
15202,Pittsburgh,PA,40.502918,-80.0704,-5,1
15203,Pittsburgh,PA,40.426211,-79.97826,-5,1
15204,Pittsburgh,PA,40.455118,-80.06008,-5,1
15205,Pittsburgh,PA,40.436618,-80.07289,-5,1
15206,Pittsburgh,PA,40.468968,-79.91863,-5,1
15207,Pittsburgh,PA,40.399355,-79.93414,-5,1
15208,Pittsburgh,PA,40.455168,-79.89709,-5,1
15209,Pittsburgh,PA,40.492618,-79.97458,-5,1
15210,Pittsburgh,PA,40.409219,-79.98948,-5,1
16601,Altoona,PA,40.526319,-78.40082,-5,1
16602,Altoona,PA,40.50217,-78.39121,-5,1
16603,Altoona,PA,40.50177,-78.410035,-5,1
16648,Hollidaysburg,PA,40.439272,-78.37421,-5,1
16801,State College,PA,40.792011,-77.84993,-5,1
16802,University Park,PA,40.806956,-77.86281,-5,1
16803,State College,PA,40.802661,-77.89936,-5,1
16804,State College,PA,40.972229,-77.760172,-5,1
16805,State College,PA,40.972229,-77.760172,-5,1
21842,Ocean City,MD,38.385457,-75.07153,-5,1
21843,Ocean City,MD,38.22309,-75.324057,-5,1
22401,Fredericksburg,VA,38.301829,-77.47077,-5,1
46982,Silver Lake,IN,41.054969,-85.90441,-5,0
84201,Ogden,UT,41.244261,-112.007924,-7,1
84244,Ogden,UT,41.255285,-111.956721,-7,1
89101,Las Vegas,NV,36.17022,-115.12785,-8,1
89102,Las Vegas,NV,36.145303,-115.18358,-8,1
89103,Las Vegas,NV,36.113211,-115.21849,-8,1
89134,Las Vegas,NV,36.204548,-115.31207,-8,1
89135,Las Vegas,NV,36.131341,-115.32331,-8,1
89136,Summerlin South,NV,36.129519,-115.322782,-8,1
89191,Nellis AFB,NV,36.370315,-115.23128,-8,1
90209,Beverly Hills,CA,33.786594,-118.298662,-8,1
90210,Beverly Hills,CA,34.088808,-118.40612,-8,1
